Lap*,Driver,Message
PR,To Felipe Massa,Track temperature is now 39 degrees. We’ve not run these tyres in this sort of temperatures before but my feeling is the rear is always going to be the weakening side. Maybe another half degree?
,,
PR,From Felipe Massa,"I think so, yeah, take away a half-degree."
PR,To Valtteri Bottas,Wind direction is the same. The track temperature is starting to drop.
,,
PR,To Fernando Alonso,"The following are on starting on prime: Ericsson and Stroll. The following are on back-up: It’s the Sauber [Giovinazzi], Magnussen and Palmer."
,,
PR,To Nico Hulkenberg,Nobody told me that the gears are not synced any more.
,,
PR,To Antonio Giovinazzi,The car is moving again in first gear.
,,
PR,From Lewis Hamilton,Grip feels poor on the grid.
1,To Kevin Magnussen,"Do you have damage? Oh, you have a puncture."
,,
3,From Stoffel Vandoorne,My dash is not working.
3,To Stoffel Vandoorne,"Understood Stoffel. Currently you’re doing well. Stoffel do you mean you have no display at all, or just fuel?"
,,
3,From Stoffel Vandoorne,It’s stuck on the out-lap dash.
4,To Daniil Kvyat,"DRS should be enabled, try again."
,,
4,From Daniil Kvyat,"No, doesn’t work for me."
4,From Lewis Hamilton,Struggling for grip.
4,To Lewis Hamilton,"OK, copy."
,,
5,From Marcus Ericsson,Something is not right in the rear.
5,To Marcus Ericsson,Yes Marcus we can see some loss of downforce in the rear.
,,
7,To Stoffel Vandoorne,"Car behind is now Ricciardo. Don’t get tangled up with Ricciardo, he’s a lapped car."
,,
7,From Nico Hulkenberg,Grip is super-poor both front and rear axle. Just struggling for grip at the moment.
7,To Max Verstappen,OK Max so we’ll have a balance update and a tyre phase rotary update when you can please.
,,
7,From Max Verstappen,"All good, a bit of oversteer, a bit of understeer but it’s just because I’m close to Kimi."
7,To Daniel Riccairdo,"Alright Daniel, get stuck in, have fun."
,,
8,From Stoffel Vandoorne,I’m low on power.
8,To Stoffel Vandoorne,"Copy, we’re investigating."
,,
8,From Stoffel Vandoorne,No power.
8,To Stoffel Vandoorne,"Copy Stoffel, stay out."
,,
9,From Lewis Hamilton,28.0 is not possible
9,To Lewis Hamilton,"OK copy Lewis, just need to keep building that gap."
,,
9,To Daniil Kvyat,Tyres are stabilising and track temperature is starting to drop.
,,
9,To Lewis Hamilton,"OK Lewis you’re doing a great job now, just keep it up."
,,
9,From Valtteri Bottas,Tyres are holding on well.
9,To Lewis Hamilton,"1.6, the gap’s at 1.6."
,,
10,To Sebastian Vettel,"You can push. Very good lap, Sebastian, keep pushing like this, you are doing well."
,,
10,To Valtteri Bottas,Need to carry more speed turn 14 and turn one late entry.
,,
10,From Daniil Kvyat,"Overheating, at the moment I feel quite a bit of overheating."
10,To Daniil Kvyat,"Copy, I’ll keep you posted."
,,
10,To Stoffel Vandoorne,Vandoorne pitted to reset his car.
,,OK Stoffel apply the brakes during the stop. You need to do the power cycle. Don’t try and restart the engine as normal.
11,From Lewis Hamilton,Tyres are overheating.
12,From Stoffel Vandoorne,The pack is not doing anything. The pack is just empty.
13,From Jolyon Palmer,"Problem, problem."
13,To,"OK, understood, talk to us."
,,
13,To,"No, anchored on the brakes."
,,
13,To Jolyon Palmer,"Anchored on the brakes, understood. Can you move at all?"
,,
13,From Jolyon Palmer,"Yep, I’m moving."
13,To Jolyon Palmer,"You’re moving. OK, carry on, we’ll see what it is and get back to you."
,,
14,To Valtteri Bottas,That’s good pace there.
,,
15,From Jolyon Palmer,Ah same problem!
