Lap*,Driver,Message
PR,To Esteban Ocon,So just remember you need to sync all of the gears. I won’t be able to tell you that on the formation lap.
,,
PR,From Lewis Hamilton,Bono for the first few corners can I be in strat nine so you can get the temperature on that stright?
PR,To Lewis Hamilton,Lewis I reckon you can run strat nine probably just for the first sector. But then just focus on getting that [unclear].
,,
PR,To Lewis Hamilton,"Lewis obviously we don’t want to touch the bite point switch so just leave the brake magic off if you want to push those two straights, then we’ll put the brake magic on."
,,
PR,To Kimi Raikkonen,"Final thing from me Kimi just think about that track temperature it’s dropped quite a lot, when we talk about balance for the tyres. Just make sure we have a quick chat."
,,
FL,From Jolyon Palmer,Feel some vibration.
FL,To Jolyon Palmer,Understood.
,,
1,From Carlos Sainz Jnr,Yeah Danny came back like a madman to the track. Check the front wing.
1,To Carlos Sainz Jnr,OK Carlos we are checking. Let us know if you can see some damage.
,,
1,From Carlos Sainz Jnr,"I think there is damage, but not very much."
2,To Lewis Hamilton,"Looks like front temps are about to enter the window,"
,,
2,From Max Verstappen,I think I have damage from debris.
2,To Max Verstappen,"We think maybe you have debris in your [radiator] duct. We’re monitoring it, Max."
,,
3,From Kimi Raikkonen,"Yeah my rear end definitely doesn’t feel very good. Don’t know what has happened there but something has, straight after the hit, it’s not very good."
3,To Kimi Raikkonen,Understood Kimi. Just let’s get these temps under control.
,,
4,From Lewis Hamilton,Is everything OK with Valtteri?
4,To Lewis Hamilton,"Affirm, he has stopped for a nose change."
,,
5,From Kimi Raikkonen,It cannot be again the [censored by FOM] same guy hitting me. I don’t know if I have a puncture.”
5,To Kimi Raikkonen,“OK I’m watching the pressures. Looks fine so far.”
,,
5,From Kimi Raikkonen,Something doesn’t feel fine on the left-rear.
5,To Kimi Raikkonen,“OK.”
,,
5,From Kimi Raikkonen,But this is… I mean he just hit me completely.”
5,To Kimi Raikkonen,“Understood Kimi pressure is fine we’re just checking suspension.”
,,
6,From Marcus Ericsson,I have no battery.
6,From Esteban Ocon,I’m struggling with low grip.
6,To Esteban Ocon,Torque four for entry oversteer.
,,
6,To Max Verstappen,Alright Max you’re doing a good job.
,,
6,To Fernando Alonso,Fernando keep trying to cool the brakes in that sector.
,,
7,To Marcus Ericsson,OK Marcus keep pushing. How are the tyres?
,,
7,From Marcus Ericsson,Tyres a’re good but I have no [unclear] any more
7,To Marcus Ericsson,I know it will take a few laps to come up.
,,
8,To Sergio Perez,"Raikkonen in P5 is two seconds behind Verstappen, lapping two-tenths slower than you."
,,
8,To Daniel Ricciardo,"We have a brake issue, box this lap. We need to cool the brakes. Looking at it in the pit stop."
,,
8,To Daniel Ricciardo,"OK Daniel. We are stopping for tyres. We’re going to check the brakes so it may be a longer stop. Watch the lollipop, watch the lights."
,,
8,To Daniel Ricciardo,"OK Daniel brakes are now fine, everything is OK. We had some debris in the brake scoop. Everything got very hot very quickly. So now debris is clear, you are free to race, let’s go."
,,
9,From Jolyon Palmer,Bit of smoke out of the back.
9,To Jolyon Palmer,"Scenario 12 and box. Switch off and coast into the pit entry. Careful, brake pedal might be long. Jo if you have to jump out of the car don’t forget to go to P zero."
,,
9,From Jolyon Palmer,No it’s OK.
10,From Romain Grosjean,"I ask you one thing, Gary. If the car becomes dangerous because of the braking, stop me. It’s going now."
10,To Romain Grosjean,Understood. Alright temps are getting hot so let’s try and lift and coast for a while.
,,
11,To Daniil Kvyat,"Consider battery nine. Correct, we can do it. Radio check, can you hear me?"
,,
11,From Nico Hulkenberg,I’m having a lot of derates.
11,To Nico Hulkenberg,OK Nico we have brake wear level two. You do have to respond.
,,
11,From Nico Hulkenberg,Already? How is it possible?
11,To Nico Hulkenberg,"Don’t know Nico but we have to respond. So we need some lift-and-coast, please."
,,
11,To Nico Hulkenberg,"We may have a blocked brake duct, right-hand front"
,,
11,From Nico Hulkenberg,"I can’t hear you man, need to speak louder."
11,To Nico Hulkenberg,We may have a blocked front-right brake duct so we need more lift-and-coast.
,,
11,From Nico Hulkenberg,At the moment the number is coming down on my dash so I think it is not too bad.
13,From Max Verstappen,"Ah no, issue, issue with the engine. Yep, here we go again. [Censored by FOM] hell.”"
13,To Max Verstappen,"“Fuel two position two, Max.”"
,,
13,From Max Verstappen,"Verstappen: “Nope, no.”"
13,To Max Verstappen,“Fail one fail please Max. You’ve got Stroll coming through.”
,,
13,From Max Verstappen,No.”
13,To Max Verstappen,“OK you’ve got Stroll behind you.”
,,
13,From Max Verstappen,"Yeah I don’t [censored by FOM] care, tell me what to do."
13,To Max Verstappen,Fail one fail again please Max.
,,
13,From Max Verstappen,"Verstappen: “Agh, rear locking, everything. Any news"
13,To Max Verstappen,"Mate as soon as we have any news, I will get it to you."
,,
13,From Max Verstappen,It’s something with the ignition.
13,To Max Verstappen,We’re looking Max we’re looking.
,,
13,From Max Verstappen,It still sounds very rough.
13,To Max Verstappen,Yep I understand Max.
,,
13,To Max Verstappen,"Just stand by for the minute, Max."
,,
13,To Max Verstappen,Max that is the end for us. I’m sorry about that.
,,
13,From Lewis Hamilton,The Safety Car is driving so slow it’s dangerous for us. We can’t get the temperature in these tyres as it is.
14,To Daniel Ricciardo,OK Daniel we are boxing this lap. You need to be just positive on the delta.
,,
14,To Daniel Ricciardo,"So keep up the pace now, let’s work these tyres. These are brand new tyres. Let’s work these front tyres."
,,
14,To Daniel Ricciardo,"There is a vehicle on track, left-hand-side, exit turn 12. So caution exit turn 12."
,,
15,To Kimi Raikkonen,Just feedback Kimi we have seen the car is heavily damaged on the left-hand side. I’m sure that’s where the loss is coming from. Nothing we can do for now.
,,
15,From Kimi Raikkonen,Anything happen on the incident? Any investigation?
15,To Kimi Raikkonen,"No Kimi, no action."
,,
15,From Kimi Raikkonen,That is [censored by FOM] stupid.
15,To Sergio Perez,You need to push up to the cars ahead.
,,
15,From Sergio Perez,"I mean, I’m right on his tail, you know. But the Safety Car is really slow."
16,From Lewis Hamilton,Valtteri a lap down?
16,To Lewis Hamilton,"Affirm, he had a puncture along with wing damage."
,,
16,From Lewis Hamilton,Should slow the bunch up in one go to give the car time to get around.
16,To Lewis Hamilton,"Stay with the Safety Car, ten car lengths."
,,
16,To Kimi Raikkonen,"So seems like warm-up might be quite poor, Kimi. They’ve given the message to Bottas that his tyre temperatures are still low. Obviously he’s unlapped himself and he’s pushing full pace."
,,
16,To Daniel Ricciardo,OK Daniel think there is a high chance of a Safety Car in this lap.
,,
17,To Lewis Hamilton,OK Lewis that was pretty close on that last restart.
,,
17,From Lewis Hamilton,Close to what?
17,To Lewis Hamilton,"The Safety Car, and Safety Car Line One."
,,
17,From Lewis Hamilton,"Trust me, it wasn’t."
17,To Lewis Hamilton,"OK, copy."
,,
17,To Daniel Ricciardo,OK mate nice job. I can confirm you overtook Magnussen in a correct place. Well done.
,,
17,To Sergio Perez,Tyre temps are critical. Front and rear tyres are critical.
,,
17,To Esteban Ocon,So your tyre warm make sure you get your tyre warm-up really good relative to the others.
,,
18,To Lance Stroll,So we need to drive through the pit lane with the Safety Car.
,,
18,From Lance Stroll,Drive through the pit lane? Is everyone doing that?
18,To Lance Stroll,"Yep, everyone."
,,
18,From Stoffel Vandoorne,How do I do that? Overtake button?
