Lap*,Driver,Message
PR,Max Verstappen,I got an error next to my gear. I don’t know what it means.
PR,Max Verstappen,"OK we’ll take a look, Max."
PR,Daniel Riccairdo,Daniel we will wait for feedback until you are on the grid. Give me fedback when we are on the grid.
PR,Sergio Perez,I think the track is very close for slicks tyres.
PR,Sergio Perez,Understood.
PR,Sergio Perez,I would like to try slicks.
PR,Sergio Perez,Checo you’ve got to be sure because it gives other people information. Are you sure?
PR,Fernando Alonso,Fernando be careful in turn 11 some are reporting there might be oil there from their laps to the grid. So correction Fernandio it’s grid position 11 that has oil.
PR,Fernando Alonso,The car reset itself. It’s on again but it switched on and off by itself.
PR,Fernando Alonso,Understood.
PR,Fernando Alonso,Everyone on inters except for Sainz. He is on a new option [super-soft].
FL,Lewis Hamilton,"The important thing that we get through to that transition point, the inter-to-dry-point. We suspect that will be lap six. It will go because lifting a lot of water."
FL,Marcus Ericsson,So the latest weather forecast is no rain expected. A few drops might be possibe but no rain expected.
FL,Sebastian Vettel,It has dried up quite a bit compared to previous.
FL,Fernando Alonso,It is more dry than the laps to the grid so get ready quite soon.
FL,Jolyon Palmer,I’m going to stay out.
FL,Jolyon Palmer,"If you want to come in, come in."
FL,Jolyon Palmer,"OK, box, box."
FL,Jolyon Palmer,"Box, box"
2,Sergio Perez,"Potential front-right puncture, caution front-right."
2,Max Verstappen,Great first lap Max. Stunning first lap mate.
2,Max Verstappen,It’s still too early for slicks but keep me updated the guys on slicks.
2,Max Verstappen,Will do.
3,Fernando Alonso,Yeah I think we come in mate.
3,Fernando Alonso,Confirm that. Box this lap.
3,Lance Stroll,[Censored by FOM] I got hit. Out of the race.
3,Nico Hulkenberg,Are you in the pit lane Nico?
3,Nico Hulkenberg,"No, but I spun. Not in the pit lane. I’m losing all the temperature now on these. Going so slow. Like ice."
3,Nico Hulkenberg,"OK, Nico, understood."
5,Fernando Alonso,And drinks.
5,Fernando Alonso,"I don’t need [censored by FOM] drinks! There is just enough concentration to keep the car on the track, you know? Forget all the [censored by FOM] drinks."
5,Max Verstappen,That was a Sauber that’s crashed on the start/finish line mate.
5,Max Verstappen,Slick tyres?
5,Max Verstappen,"Giovinazzi, slick tyres, soft compound. What is it Max, we’re thinking of coming in?"
5,Max Verstappen,Where will I drop back?
5,Max Verstappen,It could be a long Safety Car.
5,Felipe Massa,Tyres is really tricky now.
7,Lewis Hamilton,It’s very hard to keep these temperatures up. The Safety Car has to pick up the pace.
