Lap*,Driver,Message
PR,To Esteban Ocon,"Wehrlein, Ericsson and Vandoorne starting on super-softs, everybody else ultra-softs."
,,
FL,To Fernando Alonso,Try three times please Fernando.
,,
FL,From Fernando Alonso,I tried already so try yourself.
FL,To Fernando Alonso,"Don’t touch the buttons, we’ll fire it up."
,,
FL,From Fernando Alonso,I have no State Of Charge.
FL,To Fernando Alonso,Default zero five again please
,,
FL,From Fernando Alonso,And nothing.
FL,To Dannil Kvyat,OK Danny for info Alonso stopped in the pit entry.
,,
FL,To Max Verstappen,"OK it’s a Case A restart. New formation lap, pit limiter on, race distance reduced by one lap."
,,
FL,To Stoffel Vandoorne,"OK Stoffel, Fernando had a car problem, he won’t start the race."
,,
FL,From Fernando Alonso,"OK, tell me what to do, if we’re retiring the car?"
FL,To Fernando Alonso,Please do a rolling power cycle.
,,
FL,From Fernando Alonso,How I can do it?
FL,To Fernando Alonso,"Right hand side to the left, then to the right, then left-hand side off, then back on again. If you can pit, pit please."
,,
2,From Romain Grosjean,OK so basically Palmer turned into me. I don’t know why he wasn’t looking.
2,To Romain Grosjean,OK understood.
,,
2,From Jolyon Palmer,"Ah, [censored by FOM] sake I’m out."
2,To Jolyon Palmer,OK. There’s no way you can get going again?
,,
2,From Lance Stroll,I got pushed on the kerb and I spun.
2,To Lance Stroll,Stay as you are. Everything is fine.
,,
3,From Lewis Hamilton,Anything I can do for the restart?
3,To Lewis Hamilton,"There’ll be plenty of opportunities, Lewis."
,,
3,To Dannil Kvyat,"Obviously tyres are quite cold but no worries, it’s the same for everyone."
,,
3,To Stoffel Vandoorne,OK Stoffel so only yourself and two Saubers have stopped. You’re the lead car of those.
,,
3,From Kevin Magnussen,We’re going really slow.
3,To Kevin Magnussen,Yeah it’s the same thing for everybody. Warm the tyres as much as you can. Will be the same for everybody.
,,
3,To Max Verstappen,"Make sure you’re right on it now, mate. Good exit from turn 18."
,,
4,To Sergio Perez,Track clear. Caution front-right temperature.
,,
5,From Daniel Ricciardo,I can see my right-rear brake’s on fire. Just keep me posted.
5,To Daniel Ricciardo,Understood.
,,
5,To Daniel Ricciardo,OK Daniel come in slowly please. We have a problem with the rear brakes. Don’t take any risks.
,,
6,To Daniel Ricciardo,OK Daniel box this lap. We are going to stop in the pit box and have a look. But Pedals will call whether we’re running or not.
,,
6,From Daniel Ricciardo,They’ve gone.
6,To Daniel Ricciardo,"Yeah understood mate. If you can get back, roll back into the pit lane. We can see there is an issue, you’ve lost pressure in the rear brakes."
,,
6,From Daniel Ricciardo,Just be prepared to slow me down if I can’t.
6,To Daniel Ricciardo,"OK Daniel we’re just going to have a look. And I think it is terminal. OK switch off, mate. Sorry about that."
,,
7,From Max Verstappen,Is it normal that I’m clipping so much?
7,To Max Verstappen,"We’re on it, Max."
,,
7,From Lewis Hamilton,Getting some cut-outs on power.
7,To Lewis Hamilton,"Copy that, we’re monitoring it. Nothing to worry about at the moment."
,,
8,From Lewis Hamilton,Is there something wrong? I keep getting [unclear].
8,To Lewis Hamilton,"Yeah copy, nine to eight should help. Lewis just cool the car where you can on the straights, just to gewt some air in the [radiators]."
,,
9,To Max Verstappen,Alright Max these clips are a little bit bigger at this stage than normal. We do expect it to settle down in one or two laps. So basically Max could you push your brake balance as far forward as you can take it as this stage please mate.
,,
9,To Max Verstappen,OK Max just so you’re aware Daniel has retired at this stage. The forward brake balance is just to protect against that.
,,
9,To Daniil Kvyat,OK Danny let’s try to break the DRS of Stroll. He’s going to fly in the staright. Let’s break the DRS if we can.
,,
10,From Sebastian Vettel,Where are we losing the most compared to Bottas?
10,To Sebastian Vettel,"Sector one, mainly."
,,
10,To Stoffel Vandoorne,Stoffel we have a five-second penalty for not going through the bollards on lap one. Magnussen the same.
,,
11,To Kevin Magnussen,We have a five seconds penalty for track limits in the race.
,,
11,From Kevin Magnussen,That’s not fair. I gave the position back. I passed the Williams and I gave it back.
11,To Kevin Magnussen,"OK. Try to settle down, long race ahead."
,,
11,From Kevin Magnussen,Did you talk to Charlie?
11,To Kevin Magnussen,Yeah we talked to Charlie.
,,
11,From Kevin Magnussen,It cannot be right.
11,To Kevin Magnussen,"We cannot argue with the penalty. We have the race pace to score good points. Come on, settle down."
,,
12,To Lewis Hamilton,OK Lewis we are borderline on temps. Just do what you can do. This is good pace.
,,
12,From Lewis Hamilton,I’m trying to race.
15,From Daniil Kvyat,I have de-rating in the last sector. It’s the rear caliper of something.
15,To Daniil Kvyat,We’ll have a look.
,,
15,To Lewis Hamilton,OK Lewis we are hot on temps.
,,
15,From Lewis Hamilton,"Why is my car overheating, guys? I’m out of the race now."
17,To Lewis Hamilton,We think other cars are struggling as well. We are not the only ones. It is hot out there.
,,
17,From Lewis Hamilton,"Keep me up-to-date, please."
17,To Lance Stroll,OK Lance if you fee lthe tyres recover we have mode and overtake available.
,,
17,From Lance Stroll,I feel like they’re coming back but there’s still a lot of performance in a new set.
17,To Lance Stroll,OK copy that. If we pit we’ll fall back behind the Saubers and they’ll go long.
,,
18,To Lewis Hamilton,"So good job, that was a tenth quicker than Vettel’s last lap, good job."
,,
18,From Lewis Hamilton,My temperature’s coming back up.
18,To Kimi Raikkonen,"OK Hamilton is back pushing, I’ll monitor the gap.Wwe’re OK for now."
,,
18,From Kimi Raikkonen,What did you say? I have no idea what you said.
18,To Kimi Raikkonen,Hamilton has started pushing again. I’ll monitor the gap and let you know what we need to do.
,,
19,From Sebastian Vettel,I have blisters on the front-left.
19,To Sebastian Vettel,Copy it’s also reported on other drivers. You should be fine. Keep pushing like this.
,,
19,From Max Verstappen,I think I have a little bit of a weird blister on the left-front inside shoulder. It’s not hurting me but it looks very weird.
19,To Max Verstappen,Copy.
,,
19,From Lewis Hamilton,Is the car OK?
19,To Lewis Hamilton,"Yep car is on the limit, Lewis. Just keep doing what you’re doing for the moment."
,,
20,To Marcus Ericsson,OK Marcus how are the tyres?
,,
20,From Marcus Ericsson,Not great.
20,To Marcus Ericsson,Understood.
,,
20,From Marcus Ericsson,Feels like they’re not working very good.
20,To Marcus Ericsson,OK.
,,
20,To Valtteri Bottas,"So good job, half a second quicker than Vettel last lap."
,,
20,To Daniil Kvyat,"OK Danny we are still looking at our options. We have a problem with the Saubers behind us. The Saubers are a bit slow. We are looking at the options still. You are doing a very good job, clean race."
,,
21,From Max Verstappen,Yeah left-front is definitely a blister. It’s opening up a littel bit more.
21,To Max Verstappen,"OK Max understood. Doesn’t seem to be affecting you too much at this stage, we’re not too concerned."
,,
21,From Lewis Hamilton,Are both cars struggling for temps?
21,To Lewis Hamilton,Affirm both care are struggling. Valtteri has the advantage of being in free air.
,,
22,To Marcus Ericsson,"OK Marcus we need a very fast lap now. [Sate of Charge] five, we need everything you have."
,,
23,To Sergio Perez,Checo we’re getting close to the end of the stint. You can start to use everything from the tyre.
,,
23,To Lewis Hamilton,"Raikkonen 38.6, gap at three seconds."
,,
23,From Lewis Hamilton,I’ve got to stay on him.
23,To Lewis Hamilton,"Copy that, Lewis. It is coming to us,"
,,
25,From Lewis Hamilton,Has anyone ahead pitted?
25,To Lewis Hamilton,"Negative, Lewis, all the stops are happening behind us."
,,
